#Address#	#cell#	#Position#	#QDC channel#	#Pedestal#	#Count#	#Output Q#	#G#
0	0	0	92	182.83700	352.069	16.92320	68.348949919225
0	0	1	31	139.22500	196.530	5.73050	67.977461447212
0	0	2	18	132.97000	320.779	18.78090	75.851777059774
0	0	3	19	154.80700	341.735	18.69280	75.495961227787
0	0	4	20	149.50200	207.521	5.80190	68.824436536180
0	0	5	21	179.57200	378.526	19.89540	80.352988691438
0	0	6	22	169.48400	360.209	19.07250	77.029483037157
0	0	7	23	161.78000	346.100	18.43200	74.442649434572
0	0	8	0	195.54400	256.483	6.09390	72.288256227758
0	0	9	1	177.85200	359.490	18.16380	73.359450726979
0	0	10	2	170.23500	351.340	18.11050	73.144184168013
0	0	11	3	148.29300	207.747	5.94540	70.526690391459
0	0	12	4	137.64100	329.386	19.17450	77.441437802908
0	0	13	5	167.58600	345.796	17.82100	71.974959612278
0	0	14	6	177.11000	365.220	18.81100	75.973344103393
0	0	15	7	169.28400	362.002	19.27180	77.834410339257
0	0	16	95	174.34000	352.537	17.81970	71.969709208401
0	0	17	33	177.50700	368.174	19.06670	77.006058158320
0	0	18	34	187.44800	374.119	18.66710	75.392164781906
0	0	19	35	164.99000	346.611	18.16210	73.352584814217
0	0	20	36	191.24500	381.915	19.06700	77.007269789984
0	0	21	37	181.87200	240.478	5.86060	69.520759193357
0	0	22	38	158.66400	216.255	5.75910	68.316725978648
0	0	23	39	163.30400	220.534	5.72300	67.888493475682
0	0	24	48	162.16300	336.155	17.39920	70.271405492730
0	0	25	49	131.66900	188.298	5.66290	67.175563463820
0	0	26	50	112.39300	285.612	17.32190	69.959208400646
0	0	27	51	171.72900	342.927	17.11980	69.142972536349
0	0	28	52	168.61900	225.748	5.71290	67.768683274021
0	0	29	53	172.12600	347.025	17.48990	70.637722132472
0	0	30	54	161.74400	335.993	17.42490	70.375201938611
0	0	31	55	167.89700	345.200	17.73030	71.608642972536
0	8	0	93	174.26600	347.884	17.36180	70.120355411955
0	8	1	30	122.26900	179.417	5.71480	67.791221826809
0	8	2	29	131.98400	312.740	18.07560	73.003231017771
0	8	3	28	170.51200	357.495	18.69830	75.518174474960
0	8	4	27	106.66300	165.837	5.91740	70.194543297746
0	8	5	26	175.39900	354.685	17.92860	72.409531502423
0	8	6	25	207.29400	395.591	18.82970	76.048869143780
0	8	7	24	159.96300	336.791	17.68280	71.416801292407
0	8	8	15	180.30900	237.924	5.76150	68.345195729537
0	8	9	14	154.83600	343.027	18.81910	76.006058158320
0	8	10	13	185.35000	369.475	18.41250	74.363893376414
0	8	11	12	171.82700	229.121	5.72940	67.964412811388
0	8	12	11	132.18800	322.163	18.99750	76.726575121163
0	8	13	10	154.75800	332.270	17.75120	71.693053311793
0	8	14	9	215.56700	378.977	16.34100	65.997576736672
0	8	15	8	207.48700	404.725	19.72380	79.659935379645
0	8	16	94	168.22900	345.647	17.74180	71.655088852989
0	8	17	32	141.56200	327.863	18.63010	75.242730210016
0	8	18	45	169.53200	358.639	18.91070	76.376009693053
0	8	19	44	193.03700	378.962	18.59250	75.090872374798
0	8	20	43	171.13400	358.345	18.72110	75.610258481422
0	8	21	42	124.16700	182.681	5.85140	69.411625148280
0	8	22	41	149.09600	207.077	5.79810	68.779359430605
0	8	23	40	194.39700	253.096	5.86990	69.631079478055
